experiment,imagebind_score
vgg-4cb-llama_cfg_3-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T16-10-42,0.2141745323063554
vgg-4cb-llama_cfg_1-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T13-30-45,0.12712003013773546
vgg-4cb-concat_feats_cfg_scale_2.5:generated_samples_24-07-10T17-57-26,0.2064521117555397
vgg-4cb-llama_cfg_2-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T14-49-27,0.1862560940721819
vgg-4cb-llama_cfg_1-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T12-38-35,0.12901534631781214
vgg-4cb-concat_feats_cfg_scale_1.5:generated_samples_24-07-10T16-56-04,0.16699195018893964
vgg-4cb-llama_cfg_1-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T13-56-31,0.13496751834109827
vgg-4cb-llama_cfg_3-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T16-37-53,0.21232899325387972
vgg-4cb-llama_cfg_2-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T15-15-01,0.18918371505129175
vgg-4cb-concat_feats_cfg_scale_2.5:generated_samples_24-07-10T17-32-57,0.21045702350166468
vgg-4cb-llama_cfg_1-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-04T14-59-43,0.12171035250313245
vgg-4cb-concat_feats_cfg_scale_2.5:generated_samples_24-07-10T17-44-53,0.20994791299574547
vgg-4cb-concat_feats_cfg_scale_1.5:generated_samples_24-07-10T16-43-05,0.1725189658133565
vgg-4cb-llama_cfg_3-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-04T15-51-26,0.2191537012690091
vgg-4cb-concat_feats_cfg_scale_1.5:generated_samples_24-07-10T17-07-51,0.17117467770134812
vgg-4cb-llama_cfg_1-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T13-04-07,0.13206931100403135
vgg-4cb-concat_feats_cfg_scale_2.5:generated_samples_24-07-10T18-21-52,0.20601610322524835
vgg-4cb-llama_cfg_2-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T15-43-10,0.19079481197420406
vgg-4cb-llama_cfg_2-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T14-23-06,0.18714213445111438
vgg-4cb-llama_cfg_3-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T17-33-04,0.2144129222074339
vgg-4cb-concat_feats_cfg_scale_2.5:generated_samples_24-07-10T18-09-33,0.20435464432513392
vgg-4cb-concat_feats_cfg_scale_1.5:generated_samples_24-07-10T17-19-55,0.17648623618171425
vgg-4cb-llama_cfg_2-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-04T15-25-56,0.19273583856117618
vgg-4cb-concat_feats_cfg_scale_1.5:generated_samples_24-07-10T16-31-23,0.17408765531103085
vgg-4cb-llama_cfg_3-concat_feats-ib_04-full_eval_pipe:generated_samples_24-07-08T17-06-21,0.21191450137947057
